_id,city,state,country,weather_ts,weather_ic,weather_hu,weather_pr,weather_tp,weather_wd,weather_ws,pollution_ts,pollution_aqius,pollution_mainus,pollution_aqicn,pollution_maincn
68487444557f4a50575cf9d3,Aalen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,46,1017,22,273,3.97,2025-06-10T13:00:00.000Z,71,p2,29,p2
68487444557f4a50575cf9d4,Babstadt,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,42,1016,23,251,5.94,2025-06-10T14:00:00.000Z,77,p2,33,p2
68487444557f4a50575cf9d5,Baden-Baden,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,46,1017,23,230,4.12,2025-06-10T13:00:00.000Z,66,p2,24,p2
68487444557f4a50575cf9d6,Biberach,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,44,1017,23,230,4.12,2025-06-10T13:00:00.000Z,102,p2,51,p2
68487444557f4a50575cf9d7,Dauchingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,47,1019,24,293,4.23,2025-06-10T13:00:00.000Z,83,p2,38,p2
68487444557f4a50575cf9d8,Eggenstein-Leopoldshafen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,45,1016,25,285,1.34,2025-06-10T13:00:00.000Z,62,p2,21,p2
68487444557f4a50575cf9d9,Eppelheim,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,45,1016,25,210,4.12,2025-06-10T14:00:00.000Z,64,p2,23,p2
68487444557f4a50575cf9da,Filderstadt,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,33,1017,24,260,4.63,2025-06-10T13:00:00.000Z,69,p2,28,p1
68487444557f4a50575cf9db,Freiburg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,40,1017,25,175,3.13,2025-06-10T13:00:00.000Z,73,p2,30,p2
68487444557f4a50575cf9dc,Friedrichshafen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,47,1017,24,250,2.57,2025-06-10T13:00:00.000Z,77,p2,33,p2
68487444557f4a50575cf9dd,Gartringen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,47,1017,24,279,4.96,2025-06-10T13:00:00.000Z,71,p2,29,p2
68487444557f4a50575cf9de,Graben-Neudorf,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,32,1016,26,253,5.76,2025-06-10T12:00:00.000Z,62,p2,21,p2
68487444557f4a50575cf9df,Grenzach-Wyhlen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,41,1017,25,270,3.09,2025-06-10T14:00:00.000Z,88,p2,41,p2
68487444557f4a50575cf9e0,Hausen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,36,1018,25,275,3.99,2025-06-10T14:00:00.000Z,68,p2,26,p2
68487444557f4a50575cf9e1,Heidelberg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,47,1016,24,220,5.14,2025-06-10T13:00:00.000Z,64,p2,23,p2
68487444557f4a50575cf9e2,Heilbronn,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,42,1017,24,256,5.66,2025-06-10T13:00:00.000Z,68,p2,26,p2
68487444557f4a50575cf9e3,Herbolzheim,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,35,1017,26,201,3.2,2025-06-10T14:00:00.000Z,64,p2,23,p2
68487444557f4a50575cf9e4,Holzgerlingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,33,1017,24,260,4.63,2025-06-10T13:00:00.000Z,60,p2,20,p2
68487444557f4a50575cf9e5,Karlsruhe,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,52,1017,24,294,1.34,2025-06-10T14:00:00.000Z,65,p2,26,p1
68487444557f4a50575cf9e6,Kehl,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,41,1017,26,220,3.6,2025-06-10T14:00:00.000Z,77,p2,33,p2
68487444557f4a50575cf9e7,Konstanz,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,44,1017,25,262,4.75,2025-06-10T13:00:00.000Z,79,p2,34,p2
68487444557f4a50575cf9e8,Ladenburg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,45,1016,25,210,4.12,2025-06-10T14:00:00.000Z,76,p2,32,p2
68487444557f4a50575cf9e9,Ludwigsburg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,51,1017,24,266,0.45,2025-06-10T13:00:00.000Z,68,p2,26,p2
68487444557f4a50575cf9ea,Mahlberg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,32,1017,25,210,4.12,2025-06-10T14:00:00.000Z,73,p2,30,p2
68487444557f4a50575cf9eb,Mannheim,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,46,1016,24,220,5.14,2025-06-10T13:00:00.000Z,69,p2,27,p2
68487444557f4a50575cf9ec,Munstertal/Schwarzwald,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,40,1018,25,245,2.68,2025-06-10T13:00:00.000Z,107,p2,54,p2
68487444557f4a50575cf9ed,Mutlangen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,56,1017,22,283,4.04,2025-06-10T13:00:00.000Z,68,p2,26,p2
68487444557f4a50575cf9ee,Neuenburg,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,43,1018,25,258,2.24,2025-06-10T13:00:00.000Z,71,p2,29,p2
68487444557f4a50575cf9ef,Oberried,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,38,1018,20,171,2.24,2025-06-10T13:00:00.000Z,104,p2,52,p2
68487444557f4a50575cf9f0,Oberrot,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,51,1017,23,280,4.12,2025-06-10T14:00:00.000Z,73,p2,30,p2
68487444557f4a50575cf9f1,Ofterdingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,32,1019,25,274,4.59,2025-06-10T14:00:00.000Z,76,p2,32,p2
68487444557f4a50575cf9f2,Orsingen-Nenzingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,47,1018,25,259,4.61,2025-06-10T14:00:00.000Z,153,p2,79,p2
68487444557f4a50575cf9f3,Pforzheim,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,48,1017,23,270,5.07,2025-06-10T14:00:00.000Z,68,p2,26,p2
68487444557f4a50575cf9f4,Reutlingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,47,1017,24,271,4.73,2025-06-10T14:00:00.000Z,85,p2,39,p2
68487444557f4a50575cf9f5,Schwabisch Hall,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,50,1017,22,280,4.12,2025-06-10T14:00:00.000Z,71,p2,29,p2
68487444557f4a50575cf9f6,Schwabische Alb,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,46,1018,22,296,5.17,2025-06-10T14:00:00.000Z,96,p2,47,p2
68487444557f4a50575cf9f7,Sindelfingen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,01d,33,1017,24,260,4.63,2025-06-10T14:00:00.000Z,94,p2,46,p2
68487444557f4a50575cf9f8,Singen,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,40,1017,25,254,5.06,2025-06-10T14:00:00.000Z,127,p2,64,p2
68487444557f4a50575cf9f9,Sontheim an der Brenz,Baden-Wuerttemberg,Germany,2025-06-10T14:00:00.000Z,04d,48,1017,21,300,4.16,2025-06-10T14:00:00.000Z,96,p2,47,p2
